"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 00:00 - 15/03/2025 01:00","182.98",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 01:00 - 15/03/2025 02:00","187.39",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 02:00 - 15/03/2025 03:00","159.81",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 03:00 - 15/03/2025 04:00","119.52",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 04:00 - 15/03/2025 05:00","81.91",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 05:00 - 15/03/2025 06:00","43.83",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 06:00 - 15/03/2025 07:00","40.22",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 07:00 - 15/03/2025 08:00","35.25",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 08:00 - 15/03/2025 09:00","28.32",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 09:00 - 15/03/2025 10:00","12.00",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 10:00 - 15/03/2025 11:00","2.79",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 11:00 - 15/03/2025 12:00","2.35",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 12:00 - 15/03/2025 13:00","3.93",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 13:00 - 15/03/2025 14:00","3.97",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 14:00 - 15/03/2025 15:00","3.95",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 15:00 - 15/03/2025 16:00","3.95",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 16:00 - 15/03/2025 17:00","3.96",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 17:00 - 15/03/2025 18:00","3.96",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 18:00 - 15/03/2025 19:00","4.01",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 19:00 - 15/03/2025 20:00","18.61",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 20:00 - 15/03/2025 21:00","68.10",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 21:00 - 15/03/2025 22:00","108.38",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 22:00 - 15/03/2025 23:00","100.37",""
"15/03/2025 00:00 - 16/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","15/03/2025 23:00 - 16/03/2025 00:00","187.07",""
