"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"18/03/2025 00:00:00 - 18/03/2025 01:00:00","BZN|DK2","Without Sequence","92.18","",""
"18/03/2025 01:00:00 - 18/03/2025 02:00:00","BZN|DK2","Without Sequence","89.96","",""
"18/03/2025 02:00:00 - 18/03/2025 03:00:00","BZN|DK2","Without Sequence","89.71","",""
"18/03/2025 03:00:00 - 18/03/2025 04:00:00","BZN|DK2","Without Sequence","67.10","",""
"18/03/2025 04:00:00 - 18/03/2025 05:00:00","BZN|DK2","Without Sequence","69.44","",""
"18/03/2025 05:00:00 - 18/03/2025 06:00:00","BZN|DK2","Without Sequence","102.28","",""
"18/03/2025 06:00:00 - 18/03/2025 07:00:00","BZN|DK2","Without Sequence","128.02","",""
"18/03/2025 07:00:00 - 18/03/2025 08:00:00","BZN|DK2","Without Sequence","136.73","",""
"18/03/2025 08:00:00 - 18/03/2025 09:00:00","BZN|DK2","Without Sequence","106.56","",""
"18/03/2025 09:00:00 - 18/03/2025 10:00:00","BZN|DK2","Without Sequence","68.46","",""
"18/03/2025 10:00:00 - 18/03/2025 11:00:00","BZN|DK2","Without Sequence","27.24","",""
"18/03/2025 11:00:00 - 18/03/2025 12:00:00","BZN|DK2","Without Sequence","1.79","",""
"18/03/2025 12:00:00 - 18/03/2025 13:00:00","BZN|DK2","Without Sequence","-0.20","",""
"18/03/2025 13:00:00 - 18/03/2025 14:00:00","BZN|DK2","Without Sequence","-0.28","",""
"18/03/2025 14:00:00 - 18/03/2025 15:00:00","BZN|DK2","Without Sequence","17.36","",""
"18/03/2025 15:00:00 - 18/03/2025 16:00:00","BZN|DK2","Without Sequence","38.60","",""
"18/03/2025 16:00:00 - 18/03/2025 17:00:00","BZN|DK2","Without Sequence","96.03","",""
"18/03/2025 17:00:00 - 18/03/2025 18:00:00","BZN|DK2","Without Sequence","141.10","",""
"18/03/2025 18:00:00 - 18/03/2025 19:00:00","BZN|DK2","Without Sequence","171.17","",""
"18/03/2025 19:00:00 - 18/03/2025 20:00:00","BZN|DK2","Without Sequence","167.77","",""
"18/03/2025 20:00:00 - 18/03/2025 21:00:00","BZN|DK2","Without Sequence","142.51","",""
"18/03/2025 21:00:00 - 18/03/2025 22:00:00","BZN|DK2","Without Sequence","117.77","",""
"18/03/2025 22:00:00 - 18/03/2025 23:00:00","BZN|DK2","Without Sequence","107.46","",""
"18/03/2025 23:00:00 - 19/03/2025 00:00:00","BZN|DK2","Without Sequence","100.50","",""
